objectid,site_no,positive_m,designatio,site_name,mastersite,globalid,created_user,created_date,last_edited_user,last_edited_date,st_areashape,st_perimetershape
65,233,y,LWS,Birley Edge & Back Edge, ,{BE237742-1E82-4B6F-BEE7-92F738821839},,,,,233446.020997005,6753.11497194433
66,154,y,LWS,Limb Valley, ,{599BF057-7A73-4FC1-8F03-8F3EDBD7C7A2},,,,,974501.98812222,9813.31931678492
67,263,n,LWS,Kent Wood & Wren Park Area, ,{85933CA9-D839-4C8E-9B97-B2ECE43DBC1D},,,,,233060.983796565,4578.91585579866
68,48,n,LWS,Parsonage Wood Farm, ,{A9484FA2-D9CC-47A7-B4F9-D0CD17988CF1},,,,,79965.9894190562,3126.2505477183
69,232,y,LWS,"Wheata Wood, Prior Royd & Birkin Royd Woods", ,{DED6AFF6-3A62-498B-9D90-0B1147E51A83},,,,,595060.627324107,10238.3171230329
70,10,n,LWS,"Underbank, Stannington", ,{F1CA15FC-8F80-41CB-B434-41D5E11E57FF},,,,,109859.640660562,3032.02487135637
71,226,y,LWS,Loxley & Wadsley Commons, ,{26781202-5F42-4978-A88C-9BD5CEA04389},,,,,448360.346971397,4992.32626266318
72,146,n,LWS,Stoneley & Charnock Woods, ,{202847E7-6BE8-428E-BB93-4EB0133F11F0},,,,,143657.231577991,3559.2327785905
73,165,y,LWS,Ecclesall Wood, ,{9A51C6D5-0503-4F97-A9A6-D1B0B1689A5F},,,,,1611902.17097234,14361.1505967779
74,252,y,LWS,Tinsley Park:Golf Course & Woods,Tinsley Park,{CE5F8ECE-B6C0-4A01-9AB8-2E01B3146686},,,,,514734.913993323,4002.79302132724
75,243,n,LWS,Whitley Lane, ,{AECF4959-AA3D-4ED8-BE91-17A85D75F227},,,,,41516.2718145913,3116.89775716461
76,156,n,LWS,Castle Dyke Pond, ,{609AD4B0-8ADF-43EC-9038-F1CDF092151A},,,,,2080.57513223602,205.723417288983
77,2,y,LWS,Hall Broom, ,{93331413-C40C-4E88-B6E3-08148B3E9620},,,,,24687.5452666719,1108.79427921888
78,3,y,LWS,Fox Hagg, ,{9D962829-7AC8-4C47-A721-7D0FF9205D1F},,,,,639051.447732382,7351.55208053303
79,230,y,LWS,Beeley & Great Hollins Wood, ,{823A189D-7A27-48AF-AAFD-CC238CB5CFA6},,,,,746944.368928771,4896.95457189627
80,116,y,LWS,Carr Bank Wood, ,{4AC2645F-0B73-449C-AB64-E24D508C37C0},,,,,5442.26253770033,461.817466495915
81,157,y,LWS,Bushey Wood, ,{48DA392A-728D-42A2-B90C-19A8341B5E88},,,,,9534.55758884926,1511.05062229734
