objectid,routecode,status_text,globalid
27333,BEI/33C,Footpath,{D3138ED0-4B69-40A0-81B3-358757786866}
27334,BEI/34,Footpath,{BD828D95-198D-4F44-ADAE-AC873078E24F}
27335,BEI/35,Footpath,{9F362AD8-B973-4609-BC1B-25A7903DCD91}
27336,BEI/35A,Footpath,{88FEABD9-8AE6-468A-B742-432DCF33D8FF}
27337,BEI/35B,Footpath,{7A51EF37-6625-4EF5-8BDE-B8A726F789E5}
27338,BEI/36,Footpath,{55591955-6281-474B-A9FD-246E26B79F99}
27339,BEI/38,Footpath,{EAAB8BE5-51F0-4759-B8B1-B5AD8D29EDFE}
27340,BEI/39,Footpath,{E28B6B82-168E-4AEF-B2C9-68231D7066A1}
27341,BEI/3A,Footpath,{7E23269B-F77F-4F21-8CF1-06D95B712D5D}
27342,BEI/3B,Footpath,{4D45B42F-99DA-4891-A601-33855F45F7A8}
27343,BEI/96,Footpath,{6A7AA3FA-3870-4822-B853-375419D413FE}
27344,SHE/658,Bridleway,{E2771534-588E-447E-B168-5550A4EBC804}
27345,BEI/95,Footpath,{3A4335E9-0A33-4350-B03C-D8A6A4280852}
27346,BRA/72B,Footpath,{4EA8EA96-553E-4E37-AF03-2274B7A2891E}
27347,SHE/253,Footpath,{06BEBA9C-997F-44AB-A13E-68E77B3ECE0D}
27348,BRA/2018,Footpath,{81921298-DADF-4176-B359-F8DAB6EBB9F4}
27349,BRA/2020,Footpath,{BF5485D4-3FDA-4575-A93F-1E3793549165}
27351,SHE/42,Footpath,{F686B844-5511-4BB3-83A1-03BD16BFC42C}
27352,BRA/12B,Footpath,{050BE5CD-CDBE-4429-B0CD-390E2528AC2C}
27353,BRA/27C,Footpath,{BD1E4EDB-C338-42A5-B15C-AC08DBBB244B}
27354,BRA/29C,Footpath,{FE8A0D5C-C9D9-4FAB-B017-3FD9F858C144}
27355,BRA/136A,Bridleway,{CBB1FFC4-46FE-4E4C-B1CD-49569ABEFD96}
27356,BRA/136B,Footpath,{D32CCFBA-EDE4-4D46-AA0C-B071AD7090FC}
27357,SHE/413,Footpath,{2B1F4F60-47A3-41F5-94E3-73F5A791D508}
27358,BRA/74A,Footpath,{218FAD8C-9D8F-43DC-8E2E-B0D0813610D0}
27359,ECC/19B,Footpath,{664C3B50-C8AA-4FC8-AE0B-A3840DF3B8ED}
27360,BRA/84,Footpath,{0336BA90-A70F-4AE6-8380-20AC0FA75503}
27361,ECC/94,Footpath,{C6FF80B3-4460-4C49-B168-7296BFB370AB}
27362,ECK/57A,Footpath,{2CAFD881-E9BB-4AA8-AB2C-B757943FB398}
27364,SHE/388A,Footpath,{E67B6FD2-B3B5-4168-ADF5-1CF486303C11}
27365,ECK/188,Footpath,{88C6C2A9-554E-492F-8842-887226E0AC3C}
27366,SHE/83,Footpath,{0360CEBB-2CFC-488C-8413-ACE82CDC92DF}
27367,SHE/3,Footpath,{E73F75A7-CA32-4C8A-942A-7BF3710E207B}
27368,SHE/273,Footpath,{A661614A-9CF3-4F1D-81F9-6E18623E5DE8}
27369,SHE/164,Footpath,{419362E6-5372-40CB-8643-45FA6BC83FE8}
27370,SHE/247,Footpath,{1C34752D-29B3-4B11-A598-FF75E6DB4B4D}
27371,SHE/23,Footpath,{F7440341-3FC0-4541-821E-4BF88AB6C89D}
27372,SHE/673,Restricted Byway,{2C560A4F-9DEB-4EFB-A55A-A8BC68AD9265}
27373,SHE/302,Footpath,{B22C3559-9214-4675-B7E9-FDA8F2F7099B}
27374,SHE/141,Footpath,{AA15133C-8306-441E-8558-5D07A280CABD}
27375,ECC/13B,Footpath,{425DF824-5F5F-4971-A88B-2D57253C1D94}
27376,SHE/1072,Footpath,{545F44EC-5491-46F5-AB6E-FEE63BD33FC0}
27377,SHE/511,Footpath,{0D08F820-6FE4-44B9-A8D6-C9FAA989FC88}
27378,SHE/463,Footpath,{70E0FD8E-4599-4ECE-A3C1-47A2DCB54D79}
27379,BRA/26,Bridleway,{90EB6FC1-D29B-4492-BA76-A6A23545C9D5}
27380,SHE/470,Footpath,{CAE7C5B1-3045-49D1-8224-EEEE080F45F8}
27381,SHE/434,Footpath,{6ACCD68C-C638-4BFF-A5FA-A1AED1EDDF14}
27382,SHE/481A,Bridleway,{6F8ED86F-1F57-4E1E-89EE-89C72CEE4EE3}
27383,SHE/379,Footpath,{6E79FC62-8044-470D-B392-CB5F7B113465}
27384,SHE/417,Footpath,{BAB750FF-EF0A-4E59-9CBC-93D6704DD391}
27385,SHE/174A,Footpath,{4FD3DE81-4BD2-46CC-9EE8-0430C1FC6A9B}
27386,SHE/131,Footpath,{34475F3E-91BF-4446-838B-38E4C7C5F35C}
27387,SHE/549,Footpath,{4B64DEAF-8B54-47A5-A5B3-848BE0A73EC3}
27389,SHE/601,Bridleway,{6FF6D01C-1BF5-474F-9661-E743DD4EA68E}
27390,SHE/378,Footpath,{6FBD8323-4E91-4452-9EEB-E7155CE2C35D}
27391,SHE/534,Footpath,{DEC1586E-8324-4124-BC7B-1E681753441D}
27392,SHE/597,Footpath,{04BAB19A-964D-41D2-A98B-788C322C65AF}
27393,SHE/5,Footpath,{AD941E8C-94A6-4D21-8625-E1E8DACC91AF}
27394,SHE/79,Bridleway,{BEC7B603-DC9C-40F5-9775-2B16131E8BD4}
27395,BRA/123,Bridleway,{C58D5987-D9CF-4235-8C4D-138572545AB3}
27397,STO/19A,Footpath,{DF8E943C-C8B3-42EF-9935-CB68F29612FD}
27398,STO/19B,Footpath,{5ADB2C42-6A44-494C-8C05-94923488F6AE}
27399,STO/35,Footpath,{C43683AF-83E3-4BA2-9B3C-4B88DFE693C9}
27400,STO/26,Footpath,{670A5D46-97E4-4C96-947D-160D09CECC93}
27401,STO/11B,Footpath,{5D9EBC73-403A-4A3E-B6E5-70B5B462F876}
27402,SHE/414,Footpath,{B951D846-FA49-4598-9132-5682F0CA93EF}
27403,SHE/214,Footpath,{74EB5F57-6AF8-44DD-82E1-476712E21134}
27404,BRA/71,Footpath,{117092DA-5754-4278-91BE-5D470E08E07D}
27405,ECC/165,Bridleway,{3BD4E860-E76D-44A3-A48E-C1DD0DC4B015}
27406,ECC/170,Footpath,{BF983AE2-E462-400A-B3D0-227E9C6D749A}
27407,STO/5B,Footpath,{A839BD3C-FF96-4CD9-80B6-0CC020DACF22}
27408,STO/77,Footpath,{60D23E20-7094-4B24-BFD6-316E73D4D116}
27409,BRA/49,Footpath,{21895423-5B2B-4691-9C39-1B51D4DD360D}
